data;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
29-01-1974;0,0;0,0;0,0;0,0;10,5;17,1;25,0;14,8;0,0;1,8;6,0;0,0;0,0;0,0;3,2;13,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,0;3,6;0,0;0,0;0,0
30-01-1974;0,0;0,0;20,0;20,0;0,0;11,3;5,0;19,4;7,0;31,8;0,0;10,0;0,0;0,0;20,1;2,0;36,0;9,0;73,0;36,0;18,2;0,0;18,2;0,0;4,8;16,6;28,0;0,0;0,0;0,0;0,0;8,4;0,0;0,0;0,0
31-01-1974;12,0;12,0;38,0;38,0;10,2;12,6;10,0;11,0;9,0;0,0;52,0;16,0;0,0;0,2;18,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;22,0;0,0;1,6;0,0;0,0;0,0;0,0;15,0;0,0;0,0;0,0;0,0
01-02-1974;10,0;10,0;50,0;50,0;40,5;51,5;30,0;17,4;38,0;10,0;50,0;32,0;41,0;0,0;2,6;0,0;14,0;0,0;0,0;14,0;11,4;0,0;11,4;0,0;7,6;0,0;12,2;7,0;0,0;13,8;21,0;23,0;41,0;12,0;21,0
02-02-1974;12,0;12,0;19,0;19,0;19,4;26,8;20,0;27,0;12,0;17,2;25,0;49,0;0,0;3,0;0,0;0,2;3,0;0,0;4,0;3,0;11,4;2,0;11,4;27,0;59,8;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0
03-02-1974;0,0;0,0;13,0;13,0;36,0;18,0;10,0;9,0;3,0;13,4;15,0;16,0;27,0;0,0;0,0;4,0;0,0;0,0;13,0;0,0;1,6;0,0;1,6;0,0;0,0;0,0;0,0;9,0;0,0;5,2;9,0;0,0;27,0;0,0;15,0
04-02-1974;8,0;8,0;10,0;10,0;0,0;1,1;18,0;5,2;22,0;8,2;0,0;22,0;0,0;4,4;7,2;0,0;0,0;0,0;17,0;0,0;0,0;5,0;0,0;16,0;5,0;0,0;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0
05-02-1974;0,0;0,0;11,0;11,0;16,0;26,9;12,0;45,0;25,0;9,2;25,0;2,0;0,0;0,0;0,0;2,0;50,0;3,0;0,0;50,0;50,0;4,0;50,0;22,0;14,4;0,0;0,0;8,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0
06-02-1974;0,0;0,0;0,0;0,0;2,0;0,2;8,0;3,2;0,0;8,4;0,0;0,0;0,0;3,0;0,0;3,0;22,0;0,0;8,0;22,0;4,0;3,0;4,0;4,0;0,0;0,0;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0,3;0,0
07-02-1974;0,0;0,0;0,0;0,0;0,0;6,2;5,0;7,0;24,0;0,8;0,0;19,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;32,0;0,0;32,0;40,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;0,0;0,0;0,0;2,0
08-02-1974;20,0;20,0;0,0;0,0;18,4;7,5;17,0;21,2;0,0;52,8;0,0;0,0;10,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;9,0;0,0;9,0;0,0;23,4;0,0;16,0;0,0;0,0;5,6;0,0;0,0;10,0;27,0;18,0
09-02-1974;0,0;0,0;0,0;0,0;3,1;2,6;3,0;4,0;0,0;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,0;0,0;19,8;0,0;19,8;0,0;10,5;24,2;6,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10-02-1974;21,0;21,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0
11-02-1974;0,0;0,0;6,0;6,0;0,0;7,5;19,0;19,0;9,0;3,8;0,0;22,0;0,0;0,0;0,0;0,0;0,0;56,0;0,0;0,0;0,0;0,0;0,0;0,0;53,4;0,0;0,0;0,0;0,0;2,8;8,0;0,0;0,0;0,0;5,0
12-02-1974;0,0;0,0;9,0;9,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;22,0;0,0;0,0;0,0;0,0;0,0;49,0;0,0;0,0;0,0;3,0;4,0;3,0;0,0;0,2;4,0;7,2;16,0
13-02-1974;0,0;0,0;0,0;0,0;0,0;4,6;6,0;7,8;2,0;3,8;0,0;0,0;0,0;0,0;6,4;0,0;6,0;0,0;0,0;6,0;43,0;9,0;43,0;15,0;46,2;0,0;0,0;0,0;20,2;5,0;3,0;0,1;0,0;10,2;10,0
14-02-1974;0,0;0,0;27,0;27,0;2,4;14,2;0,0;27,5;0,0;6,2;13,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;4,0;27,2;0,0;27,2;35,0;13,4;0,0;0,0;0,0;12,4;3,0;0,0;0,0;0,0;0,0;5,0
15-02-1974;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;23,2;59,0;23,2;16,0;31,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16-02-1974;0,0;0,0;12,0;12,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;0,0;0,0;7,4;0,0;0,0;30,0;0,0;0,0;30,0;4,6;0,0;4,6;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;12,0;25,0
17-02-1974;0,0;0,0;20,0;20,0;0,2;1,4;0,0;0,0;9,0;0,4;0,0;35,0;0,0;12,4;6,8;4,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;12,0;19,0;0,0;0,0;56,0;0,8;0,0;5,0;0,7;0,0;13,2;0,0
18-02-1974;0,0;0,0;0,0;0,0;8,2;0,8;4,0;2,2;0,0;47,0;0,0;0,0;13,0;4,0;17,4;28,0;14,0;0,0;8,0;14,0;41,0;0,0;41,0;27,0;27,4;20,0;0,0;0,0;4,8;4,0;41,0;0,8;13,0;2,0;0,0
19-02-1974;0,0;0,0;0,0;0,0;5,6;0,9;9,0;14,8;25,0;14,8;0,0;55,0;0,0;0,0;18,4;0,0;14,0;0,0;44,0;14,0;12,6;8,0;12,6;0,0;3,0;8,8;0,0;7,0;2,0;11,4;13,0;14,0;0,0;0,0;7,0
20-02-1974;0,0;0,0;24,0;24,0;3,4;0,1;0,0;3,4;18,0;1,2;0,0;0,0;11,0;4,0;5,8;22,0;0,0;0,0;0,0;0,0;12,2;0,0;12,2;21,0;19,0;0,0;0,0;0,0;1,3;5,2;0,0;10,0;11,0;0,0;2,0
21-02-1974;0,0;0,0;2,0;2,0;0,0;0,0;0,0;4,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;8,2;8,0;8,2;0,0;60,2;0,0;0,0;36,0;4,7;34,0;0,0;0,0;0,0;3,4;11,0
22-02-1974;0,0;0,0;29,0;29,0;0,0;11,9;6,0;0,0;0,0;45,0;13,0;41,0;10,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;4,0;6,0;4,0;0,0;0,0;0,0;0,0;9,0;0,2;28,0;0,0;0,0;10,0;0,0;7,0
23-02-1974;10,0;10,0;0,0;0,0;0,0;0,0;0,0;8,4;0,0;3,6;0,0;0,0;0,0;0,0;0,0;0,0;30,0;0,0;13,0;30,0;30,6;12,0;30,6;75,0;0,0;9,0;0,0;0,0;1,5;0,0;0,0;0,0;0,0;3,2;0,0
24-02-1974;8,0;8,0;9,0;9,0;0,0;1,8;8,0;0,0;0,0;39,0;0,0;6,0;15,0;31,0;0,0;12,0;2,0;12,0;27,0;2,0;0,0;49,0;0,0;15,0;32,0;0,0;0,0;69,0;18,7;36,8;0,0;0,0;15,0;0,0;16,0
25-02-1974;0,0;0,0;10,0;10,0;1,7;0,0;14,0;0,0;0,0;4,6;0,0;8,0;0,0;0,0;30,8;14,0;14,0;22,0;0,0;14,0;39,0;6,0;39,0;10,0;0,0;20,4;0,0;0,0;34,5;6,8;0,0;0,0;0,0;0,0;3,0
26-02-1974;0,0;0,0;2,0;2,0;16,3;9,6;4,0;8,0;0,0;10,8;10,0;0,0;0,0;0,0;6,8;22,0;1,0;18,0;0,0;1,0;21,0;23,0;21,0;0,0;5,0;0,0;0,0;0,0;1,9;6,0;0,0;0,0;0,0;20,6;0,0
27-02-1974;0,0;0,0;29,0;29,0;0,0;17,0;0,0;8,0;0,0;4,8;20,0;0,0;0,0;14,2;0,0;2,0;0,0;40,0;4,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;11,6;0,0;2,0;37,0;20,0;1,0;0,0;2,6;0,0
28-02-1974;0,0;0,0;9,0;9,0;0,0;0,8;9,0;8,2;0,0;6,2;0,0;0,0;13,0;0,0;0,0;16,0;59,0;0,0;0,0;59,0;0,0;0,0;0,0;15,0;0,0;4,0;0,0;0,0;0,0;28,4;0,0;10,0;13,0;0,0;4,0
01-03-1974;0,0;0,0;0,0;0,0;1,0;49,0;23,0;16,0;18,0;18,4;0,0;0,0;0,0;12,8;1,0;14,0;41,0;27,0;9,0;41,0;9,2;10,0;9,2;21,0;17,2;3,0;21,6;8,0;19,7;0,0;6,0;0,0;0,0;8,0;0,0
02-03-1974;0,0;0,0;17,0;17,0;37,6;35,8;111,0;67,8;53,0;28,4;0,0;7,0;0,0;0,0;4,0;9,0;0,0;10,5;0,0;0,0;0,0;4,0;0,0;0,0;12,0;2,2;5,4;4,0;4,7;5,0;0,0;10,0;0,0;0,0;0,0
03-03-1974;0,0;0,0;7,0;7,0;45,0;43,9;13,0;6,0;17,0;6,8;0,0;16,0;21,0;4,2;6,8;0,0;0,0;1,0;0,0;0,0;3,8;0,0;3,8;18,0;16,0;4,0;0,0;19,0;7,8;23,0;0,0;13,0;21,0;3,0;0,0
04-03-1974;0,0;0,0;12,0;12,0;11,0;2,8;0,0;7,0;0,0;8,2;0,0;0,0;5,0;8,4;0,8;0,0;0,0;0,0;13,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;40,0;0,0;20,2;0,0;5,0;0,0;5,0;0,0;5,0
05-03-1974;0,0;0,0;15,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;1,8;0,0;5,0;6,0;9,0;5,0;0,0;0,0;0,0;0,0;21,0;0,0;8,4;0,0;0,0;5,2;0,0;0,0;0,0;0,0;0,0
06-03-1974;0,0;0,0;8,0;8,0;5,4;32,6;0,0;0,0;0,0;7,2;0,0;0,0;0,0;1,0;0,0;18,0;32,0;13,0;0,0;32,0;0,0;4,0;0,0;0,0;17,4;23,2;3,1;0,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0
