Nome_Posto,Nome_Municipio,Coordenada_Y,Coordenada_X,Ano_Inicio,Ano_Fim,Mes_Inicio,Mes_Fim,Total_dias_intervalo,Dias_dados_medidos,Dias_falhos,Percentual_dias_falhos,Total_meses_intervalo,Numero_meses_completos,Numero_meses_falha,Percentual_meses_falha,Total_anos_intervalo,Numero_anos_completos,Numero_anos_falha,Percentual_anos_falha,Precipitacao_media_anual,Mes_Jan,Mes_Fev,Mes_Mar,Mes_Apr,Mes_May,Mes_Jun,Mes_Jul,Mes_Aug,Mes_Sep,Mes_Oct,Mes_Nov,Mes_Dec
SITIO MACAPA,Jati,"-7,6776944444444","-39,011305555556",2009,2023,12,12,5481,5130,351,"6,4",180,163,17,"9,44",15,10,5,"33,33","668,2","109,9","130,6","165,5","89,2","49,6","21,9","9,9","3,1","1,5","22,0","40,0","53,6"
SITIO MALHADA,Limoeiro do Norte,"-5,1010833333333","-38,094583333333",1988,2023,1,12,13158,13143,15,"0,11",432,427,5,"1,16",36,32,4,"11,11","741,5","91,0","128,1","161,6","168,8","92,4","42,2","21,2","7,0","1,8","2,2","3,6","22,9"
SITIO MILHANS,Salitre,"-7,1749444444444","-40,33625",2018,2023,1,12,2192,1546,646,"29,47",72,48,24,"33,33",6,1,5,"83,33","450,0","86,2","138,9","121,3","104,5","22,6","0,0","0,0","0,0","0,0","8,7","0,0","106,8"
SITIO NOVO-VILA PE CICERO,Juazeiro do Norte,"-7,133","-39,333305555556",2000,2023,11,4,8772,3225,5547,"63,24",288,97,191,"66,32",24,5,19,"79,17","352,3","162,8","192,2","212,6","143,1","60,7","9,1","12,9","0,8","3,4","7,7","23,5","104,5"
SITIO PAJEU,Palmácia,"0,0","0,0",1988,2023,1,12,13158,3406,9752,"74,11",432,99,333,"77,08",36,4,32,"88,89","270,9","98,3","153,0","182,0","315,8","187,6","106,2","45,2","14,1","10,2","10,1","16,7","35,5"
SITIO PILOES,Pacoti,"-4,1798611111111","-38,937388888889",2015,2023,1,3,3289,1931,1358,"41,29",108,62,46,"42,59",9,4,5,"55,56","725,9","180,2","154,9","262,1","220,2","137,6","48,6","93,2","10,4","6,1","9,6","13,4","63,8"
SITIO PITOMBEIRAS DE CRUZ,Cruz,"-2,8861111111111","-40,173055555556",2020,2023,11,12,1462,1147,315,"21,55",48,37,11,"22,92",4,3,1,"25,0","772,1","76,5","135,2","337,4","210,2","122,3","55,7","6,8","2,7","0,8","0,1","20,8","43,6"
SITIO PITUBA,Ibiapina,"-3,9514444444444","-40,886944444444",2022,2023,3,12,730,617,113,"15,48",24,20,4,"16,67",2,0,2,"100,0","854,8","67,0","228,0","484,0","247,6","71,5","52,2","12,0","0,0","0,0","0,0","16,0","27,0"
SITIO QUENQUELERE,Potengi,"-7,0339444444444","-40,049472222222",2017,2023,11,12,2557,2057,500,"19,55",84,66,18,"21,43",7,4,3,"42,86","404,5","80,8","128,4","128,8","126,2","26,7","16,2","0,0","0,0","0,0","0,0","21,2","20,9"
SITIO SACO,Porteiras,"-7,5018333333333","-39,173055555556",2010,2023,5,12,5116,4805,311,"6,08",168,154,14,"8,33",14,9,5,"35,71","1360,9","116,5","158,3","221,7","125,2","84,1","47,8","25,1","7,3","4,8","27,1","42,9","86,4"
SITIO SAO JOAO,Ipu,"-4,2750277777778","-40,747861111111",2021,2023,11,12,1095,791,304,"27,76",36,25,11,"30,56",3,2,1,"33,33","734,6","213,0","108,6","343,2","257,0","89,8","42,5","7,5","4,0","0,0","0,0","3,3","19,0"
SITIO SAO PEDRO,Ipaumirim,"-6,7482777777778","-38,812722222222",2013,2023,3,5,4019,3039,980,"24,38",132,97,35,"26,52",11,7,4,"36,36","686,0","128,0","121,5","220,6","155,6","45,5","23,3","4,1","0,0","0,0","1,7","48,8","51,7"
SITIO SAPUCAIA FAGUNDES,Aquiraz,"-3,95791666667","-38,3511944444",2015,2023,2,12,3289,3259,30,"0,91",108,107,1,"0,93",9,8,1,"11,11","1470,9","182,0","222,1","344,6","332,6","211,9","85,8","68,3","3,3","3,3","3,2","5,6","28,4"
SITIO SEVERO,Jaguaribe,"-6,074","-38,867388888889",2000,2023,7,12,8772,4647,4125,"47,02",288,147,141,"48,96",24,10,14,"58,33","327,5","118,9","110,3","132,7","146,4","47,2","14,5","6,9","3,4","0,0","0,0","0,0","25,1"
SITIO TAUÃ DE BAIXO,Ibiapina,"-3,9146111111111","-40,948055555556",2020,2023,11,12,1462,1146,316,"21,61",48,37,11,"22,92",4,3,1,"25,0","755,1","113,9","157,2","326,4","244,2","57,3","56,4","6,8","4,6","1,7","0,0","9,1","20,2"
SITIO TIMBAUBA MACORE,Russas,"-4,8663888888889","-38,231166666667",1998,2023,12,12,9502,8578,924,"9,72",312,274,38,"12,18",26,19,7,"26,92","741,7","94,4","118,5","173,1","184,8","102,2","60,2","21,5","8,1","1,5","0,3","0,9","16,6"
SITIO TIPI,Aurora,"-6,9716666666667","-38,829722222222",1988,2023,1,12,13158,6930,6228,"47,33",432,213,219,"50,69",36,10,26,"72,22","477,7","120,9","169,5","239,9","171,3","53,5","33,4","19,3","5,4","3,2","7,6","36,9","47,9"
SITIO TRANQUEIRA ,Lavras da Mangabeira,"-6,7885555555556","-38,854722222222",2019,2023,1,12,1827,1827,0,"0,0",60,60,0,"0,0",5,5,0,"0,0","900,7","174,6","152,6","234,5","139,7","48,8","33,4","18,4","1,6","0,0","5,4","61,5","30,2"
SITIO TREZE IRMAOS,Itapipoca,"-3,5166666666667","-39,416666666667",1995,2023,12,12,10599,1233,9366,"88,37",348,28,320,"91,95",29,1,28,"96,55","97,9","66,1","132,4","321,8","240,1","122,4","20,9","0,0","15,7","0,0","0,0","0,0","0,0"
SITIO URUBU,Coreaú,"-3,54825","-40,57425",2002,2023,1,12,8040,8009,31,"0,39",264,262,2,"0,76",22,20,2,"9,09","842,3","96,5","161,7","238,4","238,2","77,1","15,2","2,0","0,0","0,0","0,5","1,4","16,7"
SITIO VAMBIRA,Viçosa do Ceará,"-3,6375","-41,148805555556",1998,2023,6,12,9502,9355,147,"1,55",312,307,5,"1,6",26,25,1,"3,85","823,0","108,9","151,2","204,4","186,4","89,4","37,8","12,7","5,1","1,6","7,2","7,0","39,6"
SITIO VARZEA,Ibiapina,"0,0","0,0",1994,2023,1,12,10964,1051,9913,"90,41",360,24,336,"93,33",30,1,29,"96,67","42,0","69,4","58,0","123,3","132,0","98,1","45,0","12,9","0,0","0,0","0,0","0,0","55,0"
SITIO VARZEA REDONDA,Guaraciaba do Norte,"-4,283","-40,833305555556",1993,2023,3,7,11329,4779,6550,"57,82",372,150,222,"59,68",31,8,23,"74,19","313,6","71,8","86,4","161,7","173,8","67,6","30,6","8,7","3,5","0,0","4,5","0,0","23,2"
SITIOS NOVOS,Caucaia,"-3,7727777777778","-38,958138888889",1998,2023,7,1,9502,5614,3888,"40,92",312,178,134,"42,95",26,11,15,"57,69","518,9","114,2","115,9","183,5","191,0","97,8","64,4","30,3","0,9","0,0","0,2","2,0","12,8"
SIUPE,São Gonçalo do Amarante,"-3,5376388888889","-38,943111111111",2009,2023,12,12,5481,5009,472,"8,61",180,162,18,"10,0",15,12,3,"20,0","1343,3","160,8","205,0","316,2","340,8","190,9","121,6","58,0","7,2","2,1","2,8","2,9","34,6"
SOBRAL,Sobral,"-3,6606388888889","-40,344888888889",1974,2023,1,7,18274,16682,1592,"8,71",600,545,55,"9,17",50,44,6,"12,0","803,8","101,0","153,0","226,0","211,4","111,2","30,5","12,9","2,8","0,2","0,6","2,4","22,7"
SOLEDADE,Aurora,"-6,9286388888889","-38,776222222222",2023,2023,11,12,365,70,295,"80,82",12,2,10,"83,33",1,0,1,"100,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","0,0","0,0"
SOLONOPOLE,Solonópole,"-5,7336944444444","-39,006944444444",1974,2023,1,12,18274,18204,70,"0,38",600,596,4,"0,67",50,48,2,"4,0","737,2","83,6","104,8","172,0","153,6","106,1","47,1","26,3","6,2","2,2","3,7","10,1","20,6"
STA. RITA DOS GALDINOS,Santa Quitéria,"-4,3250833333333","-39,812027777778",1998,2023,7,12,9502,7895,1607,"16,91",312,254,58,"18,59",26,15,11,"42,31","469,3","91,4","72,0","127,0","143,6","61,1","20,0","2,9","3,1","0,0","0,6","4,2","5,7"
STO. ANTONIO DE RUSSAS,Russas,"-4,833","-38,166694444444",1988,2023,1,5,13158,3380,9778,"74,31",432,94,338,"78,24",36,5,31,"86,11","151,9","88,6","67,2","120,2","139,9","68,8","21,8","6,3","15,4","2,0","0,0","1,3","12,8"
SUASSURANA,Iguatu,"-6,7","-39,5",1988,2023,2,12,13158,533,12625,"95,95",432,0,432,"100,0",36,0,36,"100,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0"
SUCESSO,Tamboril,"-4,9333333333333","-40,533333333333",1988,2023,1,4,13158,5628,7530,"57,23",432,169,263,"60,88",36,5,31,"86,11","350,0","91,8","115,1","178,0","158,6","66,8","13,8","2,6","2,9","0,0","1,8","1,4","16,3"
SÃO JOÃO,Ererê,"-5,9280555555556","-38,230888888889",2001,2023,1,4,8405,5739,2666,"31,72",276,182,94,"34,06",23,11,12,"52,17","674,2","127,0","146,6","229,9","208,5","138,1","48,5","11,6","0,9","0,0","0,0","1,2","22,4"
SÍTIO ESTRELA DALVA,Eusébio,"-3,9","-38,45",2002,2023,5,12,8040,847,7193,"89,47",264,20,244,"92,42",22,1,21,"95,45","41,9","0,0","0,0","242,0","170,0","128,8","66,5","0,0","0,0","0,0","0,0","0,0","0,0"
SÍTIO SÃO PEDRO,Jaguaretama,"-5,6490277777778","-38,876805555556",2001,2023,1,5,8405,2290,6115,"72,75",276,68,208,"75,36",23,4,19,"82,61","193,6","116,8","74,3","107,4","167,9","94,3","16,8","10,0","0,0","0,0","7,5","0,0","0,0"
TABAINHA,Tianguá,"-3,4753055555556","-40,828972222222",2000,2023,11,5,8772,5132,3640,"41,5",288,164,124,"43,06",24,11,13,"54,17","658,1","100,6","262,8","214,4","280,4","123,4","39,6","12,6","2,5","0,0","6,9","4,4","20,6"
TABULEIRO DO NORTE,Tabuleiro do Norte,"-5,2638055555556","-38,115777777778",1974,2023,1,12,18274,18155,119,"0,65",600,592,8,"1,33",50,46,4,"8,0","730,3","82,8","116,7","181,8","162,8","92,3","40,3","18,8","4,2","0,8","2,4","5,4","19,6"
TAMANDUA,Trairi,"-3,326","-39,404777777778",2000,2023,6,3,8772,1575,7197,"82,05",288,43,245,"85,07",24,3,21,"87,5","134,9","147,6","235,0","198,7","200,3","98,7","43,5","31,7","0,0","0,0","0,0","0,0","0,0"
TAMBORIL,Tamboril,"-4,8344166666667","-40,320583333333",1979,2023,1,12,16447,16347,100,"0,61",540,535,5,"0,93",45,41,4,"8,89","643,9","87,7","117,7","189,8","145,2","47,0","13,8","2,9","1,5","0,8","1,2","6,5","27,5"
TANGENTE,Massapê,"-3,4171111111111","-40,387722222222",1994,2023,2,12,10964,5813,5151,"46,98",360,183,177,"49,17",30,12,18,"60,0","479,9","112,0","186,3","254,5","180,5","90,3","30,7","10,1","0,7","0,0","0,0","7,4","21,5"
TANQUES,Maranguape,"-4,0819722222222","-38,790305555556",1992,2023,8,12,11696,6617,5079,"43,43",384,205,179,"46,61",32,10,22,"68,75","697,8","136,0","141,6","226,5","232,9","122,5","69,1","31,0","5,1","0,4","1,9","1,6","14,1"
TAPERUABA,Sobral,"-4,0779444444444","-39,947944444444",1997,2023,10,12,9867,7954,1913,"19,39",324,257,67,"20,68",27,16,11,"40,74","426,2","87,2","76,6","115,6","120,2","50,6","16,3","2,3","0,0","0,0","0,0","1,0","11,2"
TAPUIARA,Quixadá,"-5,067","-38,9",2000,2023,12,12,8772,8446,326,"3,72",288,275,13,"4,51",24,21,3,"12,5","585,4","69,5","76,0","160,0","142,0","79,0","46,8","19,3","1,7","0,0","2,0","6,0","17,3"
TARGINOS,Canindé,"-4,633","-39,233305555556",2000,2023,6,3,8772,2443,6329,"72,15",288,73,215,"74,65",24,4,20,"83,33","214,0","75,4","80,9","151,6","233,0","82,9","73,7","14,8","0,4","0,0","0,0","0,0","2,0"
TARRAFAS,Tarrafas,"-6,6790555555556","-39,760416666667",1989,2023,1,12,12791,12495,296,"2,31",420,409,11,"2,62",35,31,4,"11,43","647,2","100,2","121,7","198,1","135,8","54,6","8,0","1,5","1,4","1,1","0,5","8,9","22,4"
TAUA,Tauá,"-6,0064166666667","-40,299722222222",1974,2023,1,12,18274,18246,28,"0,15",600,598,2,"0,33",50,48,2,"4,0","548,8","78,8","92,6","141,0","111,5","45,0","19,0","7,8","2,5","2,3","4,2","9,8","35,0"
TEJUCUOCA,Tejuçuoca,"-3,9894444444444","-39,580277777778",1988,2023,1,12,13158,12753,405,"3,08",432,413,19,"4,4",36,31,5,"13,89","605,2","76,8","94,4","172,5","133,3","75,4","25,5","14,4","2,5","0,2","0,1","4,2","9,8"
TIAIA DE BAIXO,Granja,"-3,0173055555556","-40,575861111111",2000,2023,11,12,8772,7350,1422,"16,21",288,236,52,"18,06",24,15,9,"37,5","955,8","119,7","186,5","301,7","252,4","124,9","32,2","14,7","0,6","0,0","0,0","0,5","8,2"
TIANGUA,Tianguá,"-3,7231388888889","-40,993722222222",1974,2023,1,12,18274,18241,33,"0,18",600,595,5,"0,83",50,45,5,"10,0","1237,4","158,9","214,1","303,0","275,2","135,6","48,3","25,3","4,8","2,5","5,6","12,0","54,3"
TIMONHA,Granja,"-3,2581944444444","-41,131388888889",2000,2023,11,12,8772,7406,1366,"15,57",288,241,47,"16,32",24,18,6,"25,0","1285,1","205,7","290,0","327,0","310,0","146,5","47,7","12,5","0,7","0,2","0,0","2,5","50,4"
TOME VIEIRA,Ererê,"-6,019","-38,408777777778",2001,2023,1,2,8405,4999,3406,"40,52",276,158,118,"42,75",23,10,13,"56,52","556,4","135,1","147,9","182,5","171,5","134,4","16,0","11,5","1,7","0,0","0,0","0,0","8,8"
TRAIRI,Trairi,"-3,2764444444444","-39,265111111111",1976,2023,1,12,17544,17543,1,"0,01",576,575,1,"0,17",48,47,1,"2,08","1196,4","125,9","163,6","282,8","278,5","168,6","88,6","44,5","11,3","3,5","2,7","2,7","23,9"
TRANQUEIRAS,Independência,"-5,583","-40,55",2000,2023,11,12,8772,2849,5923,"67,52",288,85,203,"70,49",24,5,19,"79,17","158,9","125,1","97,2","132,3","140,5","19,4","4,1","0,0","0,0","0,0","0,0","0,0","9,5"
TRAPIA,Forquilha,"-3,892","-40,258222222222",1998,2022,5,11,9137,8410,727,"7,96",300,270,30,"10,0",25,13,12,"48,0","1213,1","130,7","127,0","211,8","209,4","95,6","23,7","6,6","1,8","0,0","6,1","2,6","25,3"
TRES BODEGAS,Icó,"-6,3316666666667","-38,737138888889",2000,2023,7,12,8772,5899,2873,"32,75",288,189,99,"34,38",24,12,12,"50,0","479,2","119,8","115,3","174,8","137,3","71,0","25,1","12,4","9,9","3,6","1,1","7,1","22,5"
TRUSSU,Acopiara,"-6,083","-39,733305555556",1998,2023,1,12,9502,8120,1382,"14,54",312,264,48,"15,38",26,19,7,"26,92","578,9","100,3","111,7","148,4","130,7","75,7","43,0","6,3","8,3","2,1","0,9","11,0","30,6"
TUCUNDUBA,Caucaia,"-3,8697777777778","-38,755777777778",2000,2023,6,12,8772,5948,2824,"32,19",288,188,100,"34,72",24,11,13,"54,17","740,5","123,7","158,6","262,2","281,4","127,3","71,5","27,4","8,0","2,3","0,0","2,4","22,2"
TUCUNS,Crateús,"-5,2268888888889","-40,917305555556",2000,2023,12,12,8772,6784,1988,"22,66",288,217,71,"24,65",24,14,10,"41,67","625,0","133,3","145,1","207,8","146,0","54,5","23,6","2,1","0,8","0,0","0,0","7,2","17,8"
TURURU,Tururu,"-3,5978611111111","-39,434888888889",1980,2023,1,12,16082,13926,2156,"13,41",528,450,78,"14,77",44,31,13,"29,55","745,9","96,3","156,4","247,9","208,7","82,6","38,6","12,5","2,5","0,7","0,0","0,5","8,7"
UBAJARA,Ubajara,"-3,8534444444444","-40,922583333333",1974,2023,1,12,18274,18228,46,"0,25",600,595,5,"0,83",50,46,4,"8,0","1458,1","179,7","231,6","348,8","327,4","169,8","82,9","29,7","9,3","6,2","8,4","15,1","51,7"
UBAUNA,Coreaú,"-3,7415277777778","-40,68875",2000,2023,11,12,8772,8408,364,"4,15",288,272,16,"5,56",24,20,4,"16,67","691,9","97,4","154,0","182,1","154,0","72,5","21,0","10,4","0,0","0,0","2,0","2,2","16,1"
UBIRACU,Canindé,"-4,417","-39,616694444444",1998,2023,7,6,9502,3046,6456,"67,94",312,93,219,"70,19",26,7,19,"73,08","204,3","142,4","83,9","173,0","155,3","65,8","30,5","4,1","10,1","0,0","0,0","0,0","1,1"
UIRAPONGA,Morada Nova,"-5,2825277777778","-38,360305555556",2000,2023,6,6,8772,8122,650,"7,41",288,265,23,"7,99",24,20,4,"16,67","630,5","81,1","122,2","169,5","141,8","78,9","34,6","13,6","4,9","0,0","0,0","5,1","7,7"
UMARI,Umari,"-6,6437777777778","-38,701944444444",1979,2023,1,12,16447,16175,272,"1,65",540,530,10,"1,85",45,43,2,"4,44","724,4","119,7","129,7","170,5","144,5","68,5","27,3","12,8","3,7","3,7","5,7","16,0","28,2"
UMIRIM,Umirim,"-3,6880555555556","-39,343527777778",1989,2023,1,12,12791,12791,0,"0,0",420,420,0,"0,0",35,35,0,"0,0","813,1","90,8","129,7","221,5","192,2","107,6","40,2","20,2","1,2","0,3","0,7","1,6","7,1"
URUAU CARRAPICHO,Beberibe,"-4,2226111111111","-38,090333333333",2015,2023,1,1,3289,2408,881,"26,79",108,78,30,"27,78",9,6,3,"33,33","729,9","66,2","128,3","251,4","257,1","153,4","30,8","24,2","0,1","0,0","0,0","5,0","24,7"
URUBURETAMA,Uruburetama,"-3,6326944444444","-39,493388888889",1974,2023,1,12,18274,18084,190,"1,04",600,591,9,"1,5",50,46,4,"8,0","1060,4","117,7","178,9","276,0","236,6","124,8","61,6","32,1","6,0","2,5","2,1","3,2","28,1"
URUCUZINHO,Tarrafas,"-6,73291666667","-39,73475",2000,2023,11,12,8772,2371,6401,"72,97",288,71,217,"75,35",24,5,19,"79,17","205,6","177,6","163,9","191,2","81,4","45,2","6,6","6,8","0,0","5,0","3,0","0,0","47,5"
URUOCA,Uruoca,"-3,3170833333333","-40,561388888889",1974,2023,1,12,18274,18248,26,"0,14",600,596,4,"0,67",50,47,3,"6,0","936,9","132,1","192,0","239,1","206,2","105,0","25,9","8,2","1,1","0,5","0,6","2,6","23,8"
URUQUE,Quixeramobim,"-5,1493055555556","-39,178444444444",1988,2023,2,12,13158,7472,5686,"43,21",432,233,199,"46,06",36,15,21,"58,33","472,2","83,4","85,3","190,9","168,4","128,1","66,4","40,0","4,2","0,0","0,0","10,1","11,9"
VARJOTA,Varjota,"-4,183","-40,483305555556",1988,2023,1,2,13158,9379,3779,"28,72",432,302,130,"30,09",36,24,12,"33,33","622,6","136,5","137,8","218,0","221,0","91,5","24,0","4,9","0,0","0,1","2,9","7,3","34,2"
VARZEA,Cedro,"-6,4833333333333","-39,116666666667",1988,2023,2,12,13158,785,12373,"94,03",432,5,427,"98,84",36,0,36,"100,0","80,7","59,0","7,0","999,0","999,0","999,0","13,0","999,0","999,0","999,0","1,2","0,0","999,0"
VARZEA ALEGRE,Várzea Alegre,"-6,7926944444444","-39,326527777778",1974,2023,1,12,18274,18081,193,"1,06",600,590,10,"1,67",50,45,5,"10,0","980,2","156,1","191,5","231,8","178,6","70,1","27,9","11,4","2,4","6,0","21,7","31,6","66,9"
VARZEA DA CAL,Amontada,"-3,3802777777778","-39,98125",2014,2023,5,10,3654,432,3222,"88,18",120,10,110,"91,67",10,0,10,"100,0","57,8","0,0","66,6","206,1","114,2","95,5","0,0","999,0","0,0","0,0","0,0","999,0","999,0"
VARZEA DA CONCEICAO,Cedro,"-6,476","-39,112916666667",1998,2023,3,12,9502,9362,140,"1,47",312,304,8,"2,56",26,21,5,"19,23","936,8","155,3","169,4","216,2","165,1","87,5","25,4","13,8","8,0","2,5","20,8","27,7","58,8"
VARZEA GRANDE,Independência,"-5,683","-40,483305555556",2000,2023,12,12,8772,1338,7434,"84,75",288,36,252,"87,5",24,2,22,"91,67","59,9","74,3","108,3","175,7","78,5","11,3","10,0","0,0","0,0","0,0","0,0","0,0","20,7"
VARZEA NOVA,Antonina do Norte,"-6,7692777777778","-40,063083333333",2000,2023,11,12,8772,8308,464,"5,29",288,270,18,"6,25",24,21,3,"12,5","578,6","104,2","127,5","147,8","96,2","46,4","9,8","1,7","0,9","0,0","7,8","14,3","44,1"
VAZANTES,Aracoiaba,"-4,4166666666667","-38,683333333333",1983,2023,1,12,14985,1010,13975,"93,26",492,12,480,"97,56",41,0,41,"100,0","18,4","33,4","128,0","187,6","999,0","38,5","0,0","0,0","0,0","0,0","0,0","999,0","1,4"
VERA CRUZ,Tauá,"-5,8810277777778","-39,949694444444",1988,2023,2,12,13158,6185,6973,"52,99",432,194,238,"55,09",36,14,22,"61,11","338,3","119,6","107,0","174,5","151,8","72,1","57,4","24,7","8,0","6,0","4,0","13,9","25,5"
VICENTE DE CASTRO,Quixeramobim,"0,0","0,0",1973,2023,5,12,18639,2393,16246,"87,16",612,58,554,"90,52",51,2,49,"96,08","95,4","67,4","73,6","171,3","217,5","135,6","73,9","42,5","2,7","33,0","7,3","6,2","9,6"
VICOSA 01,Maranguape,"-3,9236666666667","-38,731805555556",2023,2023,3,12,365,285,80,"21,92",12,9,3,"25,0",1,0,1,"100,0","668,5","999,0","999,0","999,0","307,5","91,6","67,4","12,1","18,1","7,0","1,0","10,0","40,7"
VICOSA 02,Maranguape,"-3,9236111111111","-38,730444444444",2023,2023,3,12,365,286,79,"21,64",12,9,3,"25,0",1,0,1,"100,0","508,9","999,0","999,0","999,0","280,5","35,0","54,6","0,0","11,6","0,0","0,0","0,0","0,0"
VICOSA DO CEARA,Viçosa do Ceará,"-3,56825","-41,094583333333",1974,2023,1,12,18274,18274,0,"0,0",600,600,0,"0,0",50,50,0,"0,0","1468,2","198,9","260,6","353,1","322,0","151,1","58,2","26,3","6,4","3,0","6,9","14,9","66,8"
VILA ALECRIM,Potengi,"-7,0983333333333","-40,089111111111",2018,2023,4,12,2192,1870,322,"14,69",72,60,12,"16,67",6,4,2,"33,33","636,5","101,3","121,6","231,6","140,2","19,4","15,2","0,0","0,0","0,0","0,5","33,8","59,2"
VILA ANTONICO,Quixelô,"-6,2615833333333","-39,269305555556",2000,2023,12,12,8772,7885,887,"10,11",288,256,32,"11,11",24,19,5,"20,83","774,8","117,1","147,5","189,2","189,4","89,7","40,6","15,3","4,7","2,1","5,1","13,4","37,0"
VILA ESCONDIDO,Potengi,"-7,07575","-39,902138888889",2018,2023,1,12,2192,2014,178,"8,12",72,66,6,"8,33",6,5,1,"16,67","771,9","105,1","140,9","246,5","138,2","45,7","12,5","6,0","0,0","0,0","13,2","36,0","44,6"
VILA FEITOSA,Caririaçu,"-6,9658888888889","-39,183333333333",2000,2023,11,12,8772,7786,986,"11,24",288,254,34,"11,81",24,18,6,"25,0","873,7","173,9","185,1","247,1","152,0","76,0","19,5","9,1","1,6","1,2","15,1","35,1","58,0"
VILA PEDRA BRANCA,Aracoiaba,"-4,5","-38,816694444444",2000,2023,6,12,8772,1213,7559,"86,17",288,31,257,"89,24",24,2,22,"91,67","59,6","126,3","59,0","82,0","144,5","27,0","52,5","39,1","0,0","0,0","0,0","0,0","0,0"
VILA SANTO ANTONIO,Crateús,"-5,40675","-40,63625",2000,2023,12,12,8772,7566,1206,"13,75",288,244,44,"15,28",24,16,8,"33,33","554,8","102,6","113,8","160,4","126,0","46,9","10,4","6,2","0,6","0,0","7,9","9,6","23,6"
VILA SAO GONCALO-MARROCOS,Juazeiro do Norte,"-7,1833611111111","-39,23125",2000,2023,12,12,8772,7140,1632,"18,6",288,230,58,"20,14",24,17,7,"29,17","672,8","139,4","169,6","211,6","117,3","39,8","9,1","13,0","0,0","3,6","3,6","18,7","54,4"
VILA SOARES,Apuiarés,"-3,8691944444444","-39,351027777778",2015,2023,3,10,3289,296,2993,"91,0",108,6,102,"94,44",9,0,9,"100,0","49,4","999,0","999,0","999,0","313,2","5,2","14,0","70,5","0,0","0,0","999,0","999,0","999,0"
pluvio.posto AGRICOLA,Pentecoste,"-3,7833333333333","-39,283333333333",1988,2023,3,12,13158,778,12380,"94,09",432,8,424,"98,15",36,0,36,"100,0","45,2","124,9","999,0","183,6","81,9","55,6","17,6","11,4","999,0","999,0","999,0","999,0","999,0"
